                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"                     1.00000E+000                     6.00000E-001                     9.00000E-001                       "gfortran"                         "12.2.0"           "x86_64-macos-22.10.1"                       "20241209" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48 
                    model_number                              age                      period_days                binary_separation                             rl_1                             rl_2                    rl_overflow_1                    rl_overflow_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 ignore_rlof_flag                          ET_RL_1                          ET_RL_2                        ET_surf_1                        ET_surf_2                contact_condition               stopping_condition              mtransfer_timescale                                q                pre_zams_or_relax                  runtime_minutes                 had_RLOF_at_ZAMS                           had_ET                      had_contact 
                               1                     1.00000E+002                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.50688E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                     0.00000E+000                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46053E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23212E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               2                     2.35000E+002                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51451E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -7.63755E+029                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46053E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23212E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               3                     4.17250E+002                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51413E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -7.25042E+029                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46053E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               4                     6.63288E+002                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51538E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -8.50402E+029                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46053E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               5                     9.95438E+002                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51604E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -9.15866E+029                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46053E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               6                     1.44384E+003                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51620E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -9.32520E+029                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46053E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               7                     2.04919E+003                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51984E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -1.29590E+030                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46053E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               8                     2.86640E+003                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51849E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -1.16118E+030                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46053E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               9                     3.96964E+003                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51714E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -1.02658E+030                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46053E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
