                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"                     3.00000E+001                     2.70000E+001                     1.52000E+000                       "gfortran"                         "12.2.0"           "x86_64-macos-22.10.1"                       "20241202" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48 
                    model_number                              age                      period_days                binary_separation                             rl_1                             rl_2                    rl_overflow_1                    rl_overflow_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 ignore_rlof_flag                          ET_RL_1                          ET_RL_2                        ET_surf_1                        ET_surf_2                contact_condition               stopping_condition              mtransfer_timescale                                q                pre_zams_or_relax                  runtime_minutes                 had_RLOF_at_ZAMS                           had_ET                      had_contact 
                               1                     1.00000E+002                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.19429E+000                    -1.21980E+000                    -1.43738E-001                    -1.54048E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     5.76396E+052                     4.57036E+052                     3.10273E+054                    -1.73786E+037                     0.00000E+000                    -1.73786E+037                     0.00000E+000                     0.00000E+000                     0.00000E+000                     1.00869E+000                     1.00816E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     3.31080E-003                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34352E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               2                     2.35000E+002                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.15811E+000                    -1.18551E+000                    -1.39383E-001                    -1.49717E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     5.87591E+052                     4.65903E+052                     3.10474E+054                    -1.90627E+041                     0.00000E+000                    -1.73786E+037                     0.00000E+000                    -1.90609E+041                     0.00000E+000                     1.00591E+000                     1.00601E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     3.60356E-003                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34354E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               3                     4.17250E+002                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.11656E+000                    -1.14538E+000                    -1.34382E-001                    -1.44649E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     5.96869E+052                     4.73703E+052                     3.10645E+054                    -1.55753E+041                     0.00000E+000                    -1.73786E+037                     0.00000E+000                    -1.55735E+041                     0.00000E+000                     1.00663E+000                     1.00688E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     3.84587E-003                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34355E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               4                     6.63288E+002                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.08261E+000                    -1.10928E+000                    -1.30296E-001                    -1.40090E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     6.05191E+052                     4.81166E+052                     3.10803E+054                    -8.79703E+040                     0.00000E+000                    -1.73786E+037                     0.00000E+000                    -8.79530E+040                     0.00000E+000                     1.00516E+000                     1.00596E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     3.50975E-003                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34357E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               5                     9.95438E+002                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.06357E+000                    -1.08533E+000                    -1.28005E-001                    -1.37065E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     6.09826E+052                     4.86132E+052                     3.10899E+054                    -2.64665E+040                     0.00000E+000                    -1.73786E+037                     0.00000E+000                    -2.64491E+040                     0.00000E+000                     1.00251E+000                     1.00360E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     2.85687E-003                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34358E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               6                     1.44384E+003                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.06061E+000                    -1.07505E+000                    -1.27649E-001                    -1.35768E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     6.09708E+052                     4.87425E+052                     3.10910E+054                     1.12718E+040                     0.00000E+000                    -1.73786E+037                     0.00000E+000                     1.12892E+040                     0.00000E+000                     9.99658E-001                     1.00093E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     1.92756E-003                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34360E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               7                     2.04919E+003                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.07370E+000                    -1.08000E+000                    -1.29224E-001                    -1.36392E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     6.05080E+052                     4.84837E+052                     3.10838E+054                     2.93964E+040                     0.00000E+000                    -1.73786E+037                     0.00000E+000                     2.94138E+040                     0.00000E+000                     9.96911E-001                     9.98018E-001                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     9.20918E-004                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34361E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               8                     2.86640E+003                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.10010E+000                    -1.10052E+000                    -1.32401E-001                    -1.38983E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     5.97385E+052                     4.78949E+052                     3.10702E+054                     3.08667E+040                     0.00000E+000                    -1.73786E+037                     0.00000E+000                     3.08841E+040                     0.00000E+000                     9.94974E-001                     9.95370E-001                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     2.41834E-004                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34362E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                               9                     3.96964E+003                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.13390E+000                    -1.13312E+000                    -1.36469E-001                    -1.43101E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     5.89142E+052                     4.71528E+052                     3.10546E+054                     2.20954E+040                     0.00000E+000                    -1.73786E+037                     0.00000E+000                     2.21128E+040                     0.00000E+000                     9.94456E-001                     9.93896E-001                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     8.10465E-005                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34364E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
